Specimen No.,Year,Era,Species,Scent Morph,Date,Location,State,Altitude (m),Altitude (ft),Habitat (NMS),Habitat-description,Collector,Mounted?,Notes,NMS NOTES,Photos taken?,Corolla.Flare_1,Sepal.Length_1,Tube.Length_1,Lobe.Length_1,Lobe.Width_1,Notes,NMS NOTES,Dissected?,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,,flrln,flrwd,no.flr.counted,conmean,hetmean,purity,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Notes
17-087,2017,present,Polemonium viscosum,Skunky,7/2/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.322,2.297,1.56,0.746,0.658,,*2nd PRIORITY,yes,39,11,44,3,,,,,,,,,,,,,,,,,,,,,,,
17-136,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.08,0.92,1.73,0.7,0.61,,*2nd PRIORITY,yes ,289,73,290,4,,,,,,,,,,,,,,,,,,,,,,,
17-134,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*2nd PRIORITY,yes,1.17,1.34,1.61,0.7,0.58,,Dissection finished,yes,37,203,32,4,,,,,,,,,,,,,,,,,,,,,,,
17-228,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3739,,high alpine,,Nicole Miller-Struttmann et al. ,no,Sk-1,Photos finished,yes,1.12,1.39,1.73,0.65,0.47,,Dissection finished,yes,8,1,3,2,,,,,,,,,,,,,,,,,,,,,,,
17-229,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3739,,high alpine,,Nicole Miller-Struttmann et al. ,no,Sk-2,Photos finished,yes,1.22,1.13,1.37,0.57,0.62,,Dissection finished,yes,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,
17-230,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3739,,high alpine,,Nicole Miller-Struttmann et al. ,no,Sk-3,Photos finished,yes,1.06,1.05,1.51,0.61,0.64,,Dissection finished,yes,5,0,17,4,,,,,,,,,,,,,,,,,,,,,,,
17-220,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3586,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.22,1.49,1.61,0.86,0.51,,*2nd PRIORITY,yes,28,14,683,5,,,,,,,,,,,,,,,,,,,,,,,
17-223,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3586,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.23,1.39,1.87,0.64,0.47,,*2nd PRIORITY,yes,152,75,1769,12,,,,,,,,,,,,,,,,,,,,,,,
17-224,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3586,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.39,1.18,1.64,0.77,0.68,,*2nd PRIORITY,yes,10,5,149,5,,,,,,,,,,,,,,,,,,,,,,,
17-226,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3586,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.49,1.27,1.73,0.83,0.74,,*2nd PRIORITY,yes,86,60,525,5,,,,,,,,,,,,,,,,,,,,,,,
17-227,2017,present,Polemonium viscosum,Skunky,7/11/17,Rocky Mtn NP,Colorado,3586,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.71,1.16,1.53,0.8,0.85,,*2nd PRIORITY,yes,42,31,135,4,,,,,,,,,,,,,,,,,,,,,,,
#2-2-26,1985,past,Polemonium viscosum,Sweet,6/25/85,Cumberland Pass,Colorado,3710,"12,175",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,0.991,2.461,1.735,0.641,0.677,,*2nd PRIORITY,yes,16,13,220,4,,,,,,,,,,,,,,,,,,,,,,,
27,1985,past,Polemonium viscosum,Sweet,6/25/85,Cumberland Pass,Colorado,3710,"12,175",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,0.997,2.429,1.781,0.605,0.499,,*2nd PRIORITY,yes,57,56,378,3,,,,,,,,,,,,,,,,,,,,,,,
30,1985,past,Polemonium viscosum,Sweet,6/25/85,Cumberland Pass,Colorado,3710,"12,175",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,0.96,2.863,2.237,0.612,0.593,,*2nd PRIORITY,yes,248,60,108,3,,,,,,,,,,,,,,,,,,,,,,,
28,1985,past,Polemonium viscosum,Sweet,6/25/85,Cumberland Pass,Colorado,3710,"12,175",high alpine,,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.11,1.22,1.72,0.57,0.53,,*3rd PRIORITY count Carlie's slides,Carlie,21,0,782,4,,73,0,902,5,,,22.53,12.27,2,46.5,40,0.537572,1,21,62,2,72,18,,,,
34,1985,past,Polemonium viscosum,Sweet,6/25/85,Cumberland Pass,Colorado,3710,"12,175",high alpine,,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.4,1.17,1.38,0.73,0.79,,*3rd PRIORITY count Carlie's slides,Carlie,8,0,21,3,,9,0,241,4,,,24.9,10.49,2,8,87,0.084211,1,7,11,2,9,163,,,,
106,1985,past,Polemonium viscosum,Sweet,6/25/85,Cumberland Pass,Colorado,3620,"11,875",krummholz,,Candace Galen,yes,,*1st PRIORITY,yes,1.198,2.186,1.598,0.637,0.686,,*2nd PRIORITY,yes,48,2,6,1,,,,,,,,,,,,,,,,,,,,,,,
#2-1-38,1985,past,Polemonium viscosum,Sweet,6/25/85,Cumberland Pass,Colorado,3620,"11,875",krummholz,,Candace Galen,yes,,*1st PRIORITY,yes,0.762,1.998,1.478,0.487,0.462,,*2nd PRIORITY,yes,105,41,134,4,,,,,,,,,,,,,,,,,,,,,,,
40,1985,past,Polemonium viscosum,Sweet,6/25/85,Cumberland Pass,Colorado,3620,"11,875",krummholz,,Candace Galen,no,,*1st PRIORITY,no,NA,NA,NA,NA,NA,no flowers,*2nd PRIORITY,no,NA,NA,NA,NA,no flowers,,,,,,,,,,,,,,,,,,,,,,
42,1985,past,Polemonium viscosum,Sweet,6/25/85,Cumberland Pass,Colorado,3620,"11,875",krummholz,,Candace Galen,yes,,*1st PRIORITY,yes,0.89,1.1,1.62,0.45,0.54,,*2nd PRIORITY,yes,20,7,16,4,,,,,,,,,,,,,,,,,,,,,,,
43,1985,past,Polemonium viscosum,Sweet,6/25/85,Cumberland Pass,Colorado,3620,"11,875",krummholz,,Candace Galen,no,,*1st PRIORITY,yes,1.12,1.58,1.82,0.73,0.46,,*2nd PRIORITY,yes,37,21,4,3,,,,,,,,,,,,,,,,,,,,,,,
1,1985,past,Polemonium viscosum,Sweet,7/8/85,Niwot Ridge,Colorado,3750,"12,300",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,0.829,1.595,1.056,0.543,0.485,,*2nd PRIORITY,yes,385,10,145,5,,,,,,,,,,,,,,,,,,,,,,,
3,1985,past,Polemonium viscosum,Sweet,7/8/85,Niwot Ridge,Colorado,3750,"12,300",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,1.185,2.172,1.555,0.541,0.653,,*2nd PRIORITY,yes,281,29,289,5,,,,,,,,,,,,,,,,,,,,,,,
#4-3-2,1985,past,Polemonium viscosum,Sweet,7/8/85,Niwot Ridge,Colorado,3750,"12,300",high alpine,"D station, tundra ridge",Candace Galen,yes,,*1st PRIORITY,yes,1.02,0.9,1.37,0.56,0.44,,*2nd PRIORITY,yes,303,149,91,7,,,,,,,,,,,,,,,,,,,,,,,
6,1985,past,Polemonium viscosum,Sweet,7/8/85,Niwot Ridge,Colorado,3750,"12,300",high alpine,,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.17,1.28,1.67,0.69,0.58,,*3rd PRIORITY count Carlie's slides,Carlie,24,1,3,1,,15,4,35,2,,,24.64,12.52,2,19,16,0.542857,1,24,2,2,14,30,,,,
7,1985,past,Polemonium viscosum,Sweet,7/8/85,Niwot Ridge,Colorado,3750,"12,300",high alpine,,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.39,1.46,1.5,0.9,0.46,,*3rd PRIORITY count Carlie's slides,Carlie,11,0,278,3,,3,0,286,4,,,28.53,13.19,2,7.5,278.5,0.026224,1,12,290,2,3,267,,,,
8,1985,past,Polemonium viscosum,Sweet,7/8/85,Niwot Ridge,Colorado,3750,"12,300",high alpine,,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.17,1.27,1.41,0.91,0.61,,*3rd PRIORITY count Carlie's slides,Carlie,71,4,0,0,,23,0,153,3,,,,,2,44.5,61,0.421801,1,68,0,2,21,122,,,,Carlie: 0.8.1
12,1985,past,Polemonium viscosum,Sweet,7/8/85,Niwot Ridge,Colorado,3660,"12,000",krummholz,low alpine,Candace Galen,no,,*1st PRIORITY,no,NA,NA,NA,NA,NA,"There is no flower, only the stalk and leaves",*2nd PRIORITY,no,NA,NA,NA,NA,no flowers,,,,,,,,,,,,,,,,,,,,,,
17,1985,past,Polemonium viscosum,Sweet,7/8/85,Niwot Ridge,Colorado,3660,"12,000",krummholz,low alpine,Candace Galen,yes,,*1st PRIORITY,yes,1.008,2.264,1.433,0.445,0.495,,*2nd PRIORITY,no,40,380,2,1,"no stigma, anters stripped",,,,,,,,,,,,,,,,,,,,,,
#4-2-14,1985,past,Polemonium viscosum,Sweet,7/8/85,Niwot Ridge,Colorado,3660,"12,000",krummholz,"dry, east-facing riddge, low tundra",Candace Galen,yes,,*1st PRIORITY,yes,1.57,1.05,1.43,0.7,0.61,,*2nd PRIORITY,yes,59,14,20,3,,,,,,,,,,,,,,,,,,,,,,,
16,1985,past,Polemonium viscosum,Sweet,7/8/85,Niwot Ridge,Colorado,3660,"12,000",krummholz,,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.07,1.29,1.76,0.66,0.42,,*3rd PRIORITY count Carlie's slides,Carlie,40,1,25,2,,15,1,25,3,,,26.22,12.69,2,26.5,26,0.504762,1,39,26,2,14,26,,,,
18,1985,past,Polemonium viscosum,Sweet,7/8/85,Niwot Ridge,Colorado,3660,"12,000",krummholz,,Candace Galen,no, 1 stigmas already removed & counted,*2nd PRIORITY,yes,1.52,1.45,1.97,0.85,0.5,took picture of only remaining flower,*3rd PRIORITY count Carlie's slides,Carlie,0,0,0,0,only one slide,,NA,NA,NA,,,19.81,12.37,1,0,0,,1,0,0,,,,,,,
21,1985,past,Polemonium viscosum,Sweet,7/8/85,Niwot Ridge,Colorado,3500,"11,500",krummholz,,Candace Galen,no,,*1st PRIORITY,yes,0.944,2.533,2.085,0.664,0.531,,*2nd PRIORITY,yes,190,31,744,7,,,,,,,,,,,,,,,,,,,,,,,
15,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3950,"12,950",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,1.02,1.736,1.11,0.622,0.555,,*2nd PRIORITY,yes,NA,NA,NA,NA,no stigma,,,,,,,,,,,,,,,,,,,,,,
20,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3950,"12,950",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,1.178,2.022,1.522,0.583,0.565,,*2nd PRIORITY,yes,79,31,229,6,,,,,,,,,,,,,,,,,,,,,,,
#3-5-1,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3960,"12,992",high alpine,"Summit, tundra",Candace Galen,yes,,*1st PRIORITY,yes,1.268,2.063,1.332,0.682,0.64,,*2nd PRIORITY,yes,8,31,179,3,,,,,,,,,,,,,,,,,,,,,,,
4,1985,past,Polemonium viscosum,Sweet,7/7/85,Penn Mountain,Colorado,4025,"13,200",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,1.235,2.041,1.343,0.694,0.705,,*2nd PRIORITY,yes,47,14,36,3,,,,,,,,,,,,,,,,,,,,,,,
2,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3960,"12,992",high alpine,Summit,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,0.91,1.06,1.27,0.51,0.5,,*3rd PRIORITY count Carlie's slides,Carlie,106,17,532,6,,54,7,71,4,,,18.71,10.54,2,68.5,136,0.334963,1,94,207,2,43,65,,,,
3,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3960,"12,992",high alpine,Summit,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.09,1.33,1.49,0.75,0.92,took picture of only remaining flower,*3rd PRIORITY count Carlie's slides,Carlie,15,2,255,4,,57,2,0,0,,,23.08,13.19,2,35,121.5,0.223642,1,15,243,2,55,0,,,,
5,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3960,"12,992",high alpine,Summit,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.43,1.4,1.53,0.63,0.58,,*3rd PRIORITY count Carlie's slides,Carlie,201,8,23,2,,19,2,532,3,,,22.54,13.69,2,107.5,244,0.305832,1,195,14,2,20,474,,,,
#3-1-42,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3550,"11,646",krummholz,"trailor flats, krummholz",Candace Galen,yes,,*1st PRIORITY,yes,1.123,2.182,1.464,0.601,0.54,,*2nd PRIORITY,yes,137,24,187,4,,,,,,,,,,,,,,,,,,,,,,,
47,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3550,"11,646",krummholz,"trailor flats, krummholz",Candace Galen,no,,*1st PRIORITY,no,NA,NA,NA,NA,NA,no plant,*2nd PRIORITY,no ,NA,NA,NA,NA,,,,,,no plant,,,,,,,,,,,,,,,,,
50,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3550,"11,646",krummholz,"trailor flats, krummholz",Candace Galen,no,,*1st PRIORITY,yes,1.18,NA,NA,0.89,0.7,flower detached,*2nd PRIORITY,,NA,NA,NA,NA,no flowers,,,,,,,,,,,,,,,,,,,,,,
48,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3550,"11,646",krummholz,Trailor flat,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.29,1.53,1.67,0.79,0.72,,*3rd PRIORITY count Carlie's slides,Carlie,20,1,19,2,,22,0,28,1,,,22.01,11.58,2,21,12.5,0.626866,1,19,20,2,23,5,,,,
24,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3825,"12,550",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,0.893,1.55,1.041,0.544,0.534,,*2nd PRIORITY,yes,88,22,1308,7,,,,,,,,,,,,,,,,,,,,,,,
27,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3825,"12,550",high alpine,,Candace Galen,yes,,*1st PRIORITY,no,NA,NA,NA,NA,NA,There was no mounted 27 in the folder,*2nd PRIORITY,no,NA,NA,NA,NA,not in folder,,,,,,,,,,,,,,,,,,,,,,
#5-3-23,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3825,"12,550",high alpine,"Summit, Sundance Mountain, rocky tundra",Candace Galen,yes,,*1st PRIORITY,yes,1.91,1.03,1.39,0.79,0.88,,*2nd PRIORITY,yes,72,11,173,4,,,,,,,,,,,,,,,,,,,,,,,
30,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3825,"12,550",high alpine,Sundance,Candace Galen,no, 1 stigmas already removed & counted,*2nd PRIORITY,yes,1.1,1.46,1.78,0.66,0.48,,*3rd PRIORITY count Carlie's slides,Carlie,NA,NA,NA,NA,,18,0,358,4,only one slide,,,,1,15,323,,2,15,323,,,,,,,
31,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3825,"12,550",high alpine,Sundance,Candace Galen,no, 3 stigmas already removed & counted,*2nd PRIORITY,yes,1.18,1.33,1.7,0.72,0.56,,*3rd PRIORITY count Carlie's slides,Carlie,10,1,457,5,,50,2,635,4,,,,,3,24,373,0.060453,1,10,369,2,48,547,3,14,203,
17-024,2017,present,Polemonium viscosum,Sweet,6/27/17,Cumberland Pass,Colorado,3761,,high alpine,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,1.172,2.115,1.481,0.474,0.621,,*1st PRIORITY,yes,60,70,431,8,,,,,,,,,,,,,,,,,,,,,,,
17-027,2017,present,Polemonium viscosum,Sweet,6/27/17,Cumberland Pass,Colorado,3761,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.01,2.42,1.708,0.64,0.685,,*2nd PRIORITY,yes,38,57,449,6,,,,,,,,,,,,,,,,,,,,,,,
17-028,2017,present,Polemonium viscosum,Sweet,6/27/17,Cumberland Pass,Colorado,3761,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.103,2.193,1.692,0.55,0.701,,*2nd PRIORITY,yes,70,53,52,4,,,,,,,,,,,,,,,,,,,,,,,
17-022,2017,present,Polemonium viscosum,Sweet,6/27/17,Cumberland Pass,Colorado,3761,,high alpine,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,1.02,1.01,1.31,0.68,0.42,,Dissection finished,yes,133,56,24,5,,,,,,,,,,,,,,,,,,,,,,,
17-029,2017,present,Polemonium viscosum,Sweet,6/27/17,Cumberland Pass,Colorado,3761,,high alpine,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,1.13,1.1,1.89,0.84,0.49,,Dissection finished,yes (2),202,547,1,1,,,,,,,,,,,,,,,,,,,,,,,
17-031,2017,present,Polemonium viscosum,Sweet,6/27/17,Cumberland Pass,Colorado,3678,,krummholz,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,2.175,3.647,2.334,1.087,1.05,,*1st PRIORITY,yes,NA,NA,NA,NA,not usable,,,,,NMS: Please explain what you mean by weird? ,,,,,,,,,,,,,,,,,
17-033,2017,present,Polemonium viscosum,Sweet,6/27/17,Cumberland Pass,Colorado,3678,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.068,2.45,1.831,0.508,0.506,,*2nd PRIORITY,yes,37,13,80,4,,,,,,,,,,,,,,,,,,,,,,,
17-034,2017,present,Polemonium viscosum,Sweet,6/27/17,Cumberland Pass,Colorado,3678,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.099,2.008,1.633,0.368,0.46,,*2nd PRIORITY,yes,77,22,149,4,,,,,,,,,,,,,,,,,,,,,,,
17-035,2017,present,Polemonium viscosum,Sweet,6/27/17,Cumberland Pass,Colorado,3678,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.019,2.351,1.718,0.537,0.419,,*2nd PRIORITY,yes,9,9,178,2,,,,,,,,,,,,,,,,,,,,,,,
17-036,2017,present,Polemonium viscosum,Sweet,6/27/17,Cumberland Pass,Colorado,3678,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1,1.749,1.267,0.594,0.639,,*2nd PRIORITY,yes,12,13,414,3,,,,,,,,,,,,,,,,,,,,,,,
17-165,2017,present,Polemonium viscosum,Sweet,7/8/17,Niwot Ridge,Colorado,3746,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,0.85,1.14,1.6,0.66,0.75,,*2nd PRIORITY,yes,116,71,149,5,,,,,,,,,,,,,,,,,,,,,,,
17-162,2017,present,Polemonium viscosum,Sweet,7/8/17,Niwot Ridge,Colorado,3746,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*2nd PRIORITY,yes,1.43,1.56,2.01,0.79,0.53,,Dissection finished,yes,507,251,55,7,,,,,,,,,,,,,,,,,,,,,,,
17-163,2017,present,Polemonium viscosum,Sweet,7/8/17,Niwot Ridge,Colorado,3746,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*2nd PRIORITY,yes,1.09,1.6,2.12,0.64,0.62,,Dissection finished,yes,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
17-164,2017,present,Polemonium viscosum,Sweet,7/8/17,Niwot Ridge,Colorado,3746,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*2nd PRIORITY,yes,1.59,1.73,2.14,0.95,0.48,,Dissection finished,yes,265,176,17,4,,,,,,,,,,,,,,,,,,,,,,,
17-167,2017,present,Polemonium viscosum,Sweet,7/8/17,Niwot Ridge,Colorado,3746,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*2nd PRIORITY,yes,1.75,1.48,1.8,0.78,0.71,,Dissection finished,yes,10,12,2,1,,,,,,,,,,,,,,,,,,,,,,,
17-168,2017,present,Polemonium viscosum,Sweet,7/8/17,Niwot Ridge,Colorado,3746,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*2nd PRIORITY,yes,1.45,1.18,1.89,0.76,0.65,,Dissection finished,yes,147,194,411,8,,,,,,,,,,,,,,,,,,,,,,,
17-166,2017,present,Polemonium viscosum,Sweet,7/8/17,Niwot Ridge,Colorado,3746,,high alpine,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,0.95,1.39,1.62,0.7,0.54,,Dissection finished,yes,223,161,3,3,,,,,,,,,,,,,,,,,,,,,,,
17-174,2017,present,Polemonium viscosum,Sweet,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.42,1.4,1.77,0.99,0.73,,*2nd PRIORITY,yes,132,86,23,3,,,,,,,,,,,,,,,,,,,,,,,
17-175,2017,present,Polemonium viscosum,Sweet,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.19,1.41,1.98,0.57,0.48,,*2nd PRIORITY,yes,112,127,64,5,,,,,,,,,,,,,,,,,,,,,,,
17-176,2017,present,Polemonium viscosum,Sweet,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.61,1.37,1.52,0.95,0.7,,*2nd PRIORITY,yes,110,45,1214,5,,,,,,,,,,,,,,,,,,,,,,,
17-181,2017,present,Polemonium viscosum,Sweet,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,0.88,1.1,1.32,0.49,0.53,,*2nd PRIORITY,yes,39,22,9,3,,,,,,,,,,,,,,,,,,,,,,,
